,File_Name,Labels_Matched,Labels_Present,STP_Match
0,Trade Finance_20201217180436_1.00_page_16.png,7,12,0
1,Trade Finance_20201217180436_1.00_page_17.png,2,12,0
2,Trade Finance_20201217180436_1.00_page_5.png,7,11,0
3,Trade Finance_20201217180436_1.00_page_7.png,4,12,0
4,Trade Finance_20210208071246_1.00_page_4.png,8,11,0
5,Trade Finance_20210208071246_1.00_page_5.png,0,2,0
6,Trade Finance_20210208071246_1.00_page_9.png,8,11,0
7,Trade Finance_20210208071448_1.00_page_4.png,11,11,1
8,Trade Finance_20210208071448_1.00_page_7.png,8,11,0
9,Trade Finance_20210208072009_1.00_page_10.png,6,13,0
10,Trade Finance_20210208072009_1.00_page_7.png,9,14,0
11,Trade Finance_20210208080309_1.00_page_12.png,7,12,0
12,Trade Finance_20210208080309_1.00_page_13.png,7,12,0
13,Trade Finance_20210208080309_1.00_page_8.png,7,12,0
14,Trade Finance_20210208080309_1.00_page_9.png,7,10,0
15,Trade Finance_20210216170703_1.00_page_7.png,5,6,0
16,Trade Finance_20210216170703_1.00_page_9.png,3,7,0
17,Trade Finance_20210316075105_1.00_page_11.png,9,10,0
18,Trade Finance_20210316075105_1.00_page_14.png,4,6,0
19,Trade Finance_20210318073204_1.00_page_14.png,4,10,0
20,Trade Finance_20210318073204_1.00_page_16.png,5,8,0
21,Trade Finance_20210318073204_1.00_page_19.png,7,9,0
22,Trade Finance_20210318073204_1.00_page_20.png,6,10,0
23,Trade Finance_20210318074714_1.00_page_10.png,8,10,0
24,Trade Finance_20210318074714_1.00_page_11.png,0,2,0
25,Trade Finance_20210318074714_1.00_page_14.png,4,11,0
26,Trade Finance_20210321193133_1.00_page_10.png,10,12,0
27,Trade Finance_20210321193133_1.00_page_11.png,10,13,0
28,Trade Finance_20210321193133_1.00_page_14.png,8,13,0
29,Trade Finance_20210321193133_1.00_page_15.png,11,13,0
30,Trade Finance_20210406164948_1.00_page_7.png,6,7,0
31,Trade Finance_20210406174100_1.00_page_11.png,6,12,0
