,Label_Name,Label_Count,Labels_Detected,Detection_Accuracy,Fuzzy_Match_Percentage,Complete_Match_Count_Detected,Complete_Match_Count,Complete_Match_Percentage
0,amount_in_words,93,91,97.84946236559139,55.89,0.31868131868131866,29,31.18
1,bill_exchange_date,65,58,89.23076923076924,73.2,0.7413793103448276,43,66.15
2,bill_exchange_no,49,45,91.83673469387756,70.1,0.7333333333333333,33,67.35
3,boe_amount,86,82,95.34883720930233,79.22,0.7804878048780488,64,74.42
4,boe_currency,74,60,81.08108108108108,58.28,0.6833333333333333,41,55.41
5,diclaration_by,10,8,80.0,53.4,0.5,4,40.0
6,drawee_address,33,24,72.72727272727273,46.39,0.625,15,45.45
7,drawee_bank_address,42,36,85.71428571428571,40.69,0.3888888888888889,14,33.33
8,drawee_bank_name,47,43,91.48936170212765,53.89,0.5116279069767442,22,46.81
9,drawee_name,19,12,63.1578947368421,27.95,0.4166666666666667,5,26.32
10,drawer_address,9,7,77.77777777777779,30.67,0.42857142857142855,3,33.33
11,drawer_bank_address,40,34,85.0,43.9,0.4117647058823529,14,35.0
12,drawer_bank_name,81,78,96.29629629629629,72.28,0.7051282051282052,55,67.9
13,drawer_name,51,49,96.07843137254902,59.63,0.5918367346938775,29,56.86
14,original_or_copy,5,0,0.0,0.0,0.0,0,0.0
15,tenore_details,64,60,93.75,74.66,0.6833333333333333,41,64.06
16,OVERALL,768,687,89.453125,61.27734375,0.5997088791848617,412,0.5364583333333334
