,Label_Name,Label_Count,Labels_Detected,Detection_Accuracy,Fuzzy_Match_Percentage,Complete_Match_Count_Detected,Complete_Match_Count,Complete_Match_Percentage
0,bill_exchange_date,73,59,80.82191780821918,65.18,0.7288135593220338,43,58.9
1,bill_exchange_no,54,46,85.18518518518519,63.61,0.717391304347826,33,61.11
2,boe_amount,103,82,79.6116504854369,66.15,0.7804878048780488,64,62.14
3,diclaration_by,12,9,75.0,50.75,0.4444444444444444,4,33.33
4,drawee_bank_name,52,45,86.53846153846155,51.1,0.4888888888888889,22,42.31
5,drawee_name,22,13,59.09090909090909,26.68,0.38461538461538464,5,22.73
6,drawer_bank_name,85,79,92.94117647058823,69.88,0.7088607594936709,56,65.88
7,drawer_name,51,49,96.07843137254902,59.63,0.5918367346938775,29,56.86
8,lc_date,82,72,87.8048780487805,64.88,0.6527777777777778,47,57.32
9,lc_ref_no,93,77,82.79569892473118,65.82,0.7272727272727273,56,60.22
10,tenore_details,70,62,88.57142857142857,69.49,0.6774193548387096,42,60.0
11,OVERALL,697,593,85.07890961262554,63.335724533715926,0.6762225969645869,401,0.5753228120516499
