,Label_Name,Label_Count,Labels_Detected,Detection_Accuracy,Fuzzy_Match_Percentage,Complete_Match_Count_Detected,Complete_Match_Count,Complete_Match_Percentage
0,amount_in_words,6,6,100.0,59.83,0.0,0,0.0
1,bill_exchange_date,6,6,100.0,80.0,1.0,6,100.0
2,bill_exchange_no,6,6,100.0,100.0,1.0,6,100.0
3,boe_amount,6,6,100.0,98.33,1.0,6,100.0
4,boe_currency,6,3,50.0,33.33,0.6666666666666666,2,33.33
5,drawee_address,6,0,0.0,0.0,0.0,0,0.0
6,drawee_bank_address,6,6,100.0,23.67,0.16666666666666666,1,16.67
7,drawee_bank_name,6,4,66.66666666666666,27.33,0.25,1,16.67
8,drawer_bank_address,6,1,16.666666666666664,16.67,1.0,1,16.67
9,drawer_bank_name,6,2,33.33333333333333,23.83,0.5,1,16.67
10,drawer_name,6,6,100.0,82.67,0.8333333333333334,5,83.33
11,lc_date,6,6,100.0,76.67,0.8333333333333334,5,83.33
12,lc_ref_no,6,6,100.0,100.0,1.0,6,100.0
13,tenore_details,6,6,100.0,75.83,0.5,3,50.0
14,OVERALL,84,64,76.19047619047619,57.01190476190476,0.671875,43,0.5119047619047619
