,Label_Name,Label_Count,Labels_Detected,Detection_Accuracy,Fuzzy_Match_Percentage,Complete_Match_Count_Detected,Complete_Match_Count,Complete_Match_Percentage
0,amount_in_words,6,6,100.0,59.83,0.0,0,0.0
1,bill_exchange_date,6,6,100.0,80.0,1.0,6,100.0
2,bill_exchange_no,6,6,100.0,100.0,1.0,6,100.0
3,boe_amount,6,6,100.0,98.33,1.0,6,100.0
4,boe_currency,6,3,50.0,33.33,0.6666666666666666,2,33.33
5,country_of_origin,6,0,0.0,0.0,0.0,0,0.0
6,drawee_address,6,0,0.0,0.0,0.0,0,0.0
7,drawee_bank_address,6,6,100.0,23.67,0.16666666666666666,1,16.67
8,drawee_bank_name,6,4,66.66666666666666,27.33,0.25,1,16.67
9,drawee_country,6,0,0.0,0.0,0.0,0,0.0
10,drawee_name,6,0,0.0,0.0,0.0,0,0.0
11,drawer_address,6,0,0.0,0.0,0.0,0,0.0
12,drawer_bank_address,6,1,16.666666666666664,16.67,1.0,1,16.67
13,drawer_bank_name,6,2,33.33333333333333,23.83,0.5,1,16.67
14,drawer_country,6,0,0.0,0.0,0.0,0,0.0
15,drawer_name,6,6,100.0,82.67,0.8333333333333334,5,83.33
16,indicator_date,6,0,0.0,0.0,0.0,0,0.0
17,indicator_type,6,0,0.0,0.0,0.0,0,0.0
18,invoice_amount,6,0,0.0,0.0,0.0,0,0.0
19,invoice_currency,6,0,0.0,0.0,0.0,0,0.0
20,invoice_date,6,0,0.0,0.0,0.0,0,0.0
21,invoice_due_date,6,0,0.0,0.0,0.0,0,0.0
22,invoice_no,6,0,0.0,0.0,0.0,0,0.0
23,issue_place,6,0,0.0,0.0,0.0,0,0.0
24,issuing_bank,6,0,0.0,0.0,0.0,0,0.0
25,issuing_bank_address,6,0,0.0,0.0,0.0,0,0.0
26,original_number,6,0,0.0,0.0,0.0,0,0.0
27,original_or_copy,6,0,0.0,0.0,0.0,0,0.0
28,signature,6,0,0.0,0.0,0.0,0,0.0
29,tenor_indicator,6,0,0.0,0.0,0.0,0,0.0
30,tenor_type,6,0,0.0,0.0,0.0,0,0.0
31,tenore_details,6,6,100.0,75.83,0.5,3,50.0
32,total_original_number,6,0,0.0,0.0,0.0,0,0.0
33,usance_tenor,6,0,0.0,0.0,0.0,0,0.0
34,OVERALL,204,52,25.49019607843137,18.279411764705884,0.6153846153846154,32,0.1568627450980392
