,File_Name,label_name,actual,predicted,Accuracy,Match/No_Match,bbox,bbox_ground_truth
0,Trade Finance_20210824112119_1.00_page_11.png,lc_ref_no,TF1921870002,TF1921870002,100,1,"[1073, 1429, 1387, 1464]","[1079, 1422, 1397, 1477]"
1,Trade Finance_20210824112119_1.00_page_11.png,bill_exchange_no,SZO11,SZO11,100,1,"[345, 744, 505, 786]","[348, 741, 502, 780]"
2,Trade Finance_20210824112119_1.00_page_11.png,boe_amount,"115,510.50","115,510.50",100,1,"[446, 867, 661, 902]","[437, 855, 661, 905]"
3,Trade Finance_20210824112119_1.00_page_12.png,lc_ref_no,TF1921870002,TF1921870002,100,1,"[1071, 1485, 1383, 1524]","[1074, 1482, 1391, 1523]"
4,Trade Finance_20210824112119_1.00_page_12.png,bill_exchange_no,SZO11,SZO11,100,1,"[339, 800, 498, 842]","[340, 797, 507, 852]"
5,Trade Finance_20210824112119_1.00_page_12.png,boe_amount,"115,51050","115,510.50",95,1,"[441, 923, 657, 958]","[439, 911, 675, 970]"
6,Trade Finance_20210824112119_1.00_page_20.png,lc_ref_no,TF1921870002,TF1921870002,100,1,"[1077, 1429, 1391, 1464]","[1060, 1423, 1396, 1477]"
7,Trade Finance_20210824112119_1.00_page_20.png,bill_exchange_no,SZO11,SZO11,100,1,"[346, 741, 507, 786]","[340, 748, 512, 788]"
8,Trade Finance_20210824112119_1.00_page_20.png,boe_amount,"115,510.50","115,510.50",100,1,"[448, 867, 666, 902]","[448, 865, 666, 902]"
9,Trade Finance_20210824112119_1.00_page_21.png,lc_ref_no,TF1921870002,TF1921870002,100,1,"[1072, 1492, 1381, 1531]","[1060, 1493, 1382, 1542]"
10,Trade Finance_20210824112119_1.00_page_21.png,bill_exchange_no,SZO11,SZO11,100,1,"[341, 811, 499, 856]","[335, 808, 485, 862]"
11,Trade Finance_20210824112119_1.00_page_21.png,boe_amount,"115,510.50","115,510.50",100,1,"[440, 934, 657, 972]","[435, 921, 670, 971]"
12,Trade Finance_20210824112119_1.00_page_7.png,lc_ref_no,TF1921870002,TF1921870002,100,1,"[1109, 1446, 1433, 1482]","[1106, 1441, 1446, 1491]"
13,Trade Finance_20210824112119_1.00_page_7.png,bill_exchange_no,SZO11,SZO11,100,1,"[341, 737, 505, 783]","[340, 738, 516, 788]"
14,Trade Finance_20210824112119_1.00_page_7.png,boe_amount,"115,51050","115,510.50",95,1,"[445, 863, 673, 906]","[439, 847, 680, 902]"
15,Trade Finance_20210824112119_1.00_page_8.png,lc_ref_no,TF1921870002,TF1921870002,100,1,"[1105, 1516, 1428, 1551]","[1094, 1505, 1438, 1559]"
16,Trade Finance_20210824112119_1.00_page_8.png,bill_exchange_no,SZO11,SZO11,100,1,"[338, 805, 503, 851]","[332, 797, 501, 846]"
17,Trade Finance_20210824112119_1.00_page_8.png,boe_amount,"115,510.50","115,510.50",100,1,"[444, 932, 668, 970]","[453, 912, 677, 979]"
