,Label_Name,Label_Count,Labels_Detected,Detection_Accuracy,Fuzzy_Match_Percentage,Complete_Match_Count_Detected,Complete_Match_Count,Complete_Match_Percentage
0,bill_exchange_date,6,6,100.0,80.0,1.0,6,100.0
1,bill_exchange_no,6,6,100.0,100.0,1.0,6,100.0
2,boe_amount,6,6,100.0,98.33,1.0,6,100.0
3,drawee_bank_name,6,4,66.66666666666666,27.33,0.25,1,16.67
4,drawee_country,6,0,0.0,0.0,0.0,0,0.0
5,drawee_name,6,0,0.0,0.0,0.0,0,0.0
6,drawer_bank_name,6,2,33.33333333333333,23.83,0.5,1,16.67
7,drawer_country,6,0,0.0,0.0,0.0,0,0.0
8,drawer_name,6,6,100.0,82.67,0.8333333333333334,5,83.33
9,invoice_amount,6,0,0.0,0.0,0.0,0,0.0
10,invoice_currency,6,0,0.0,0.0,0.0,0,0.0
11,invoice_due_date,6,0,0.0,0.0,0.0,0,0.0
12,is_stamp,6,6,100.0,0.0,0.0,0,0.0
13,lc_date,6,6,100.0,76.67,0.8333333333333334,5,83.33
14,lc_ref_no,6,6,100.0,100.0,1.0,6,100.0
15,stamp_endorsed,6,0,0.0,0.0,0.0,0,0.0
16,tenor_type,6,0,0.0,0.0,0.0,0,0.0
17,tenore_details,6,6,100.0,75.83,0.5,3,50.0
18,usance_tenor,6,0,0.0,0.0,0.0,0,0.0
19,OVERALL,114,54,47.368421052631575,34.98245614035088,0.7222222222222222,39,0.34210526315789475
