,File_Name,label_name,actual,predicted,Accuracy,Match/No_Match,bbox,bbox_ground_truth
0,Trade Finance_20210824112119_1.00_page_13.png,invoice_no,NOSZO11,NOSZO11,100,1,"[1839, 677, 1998, 702]","[1892, 669, 2005, 706]"
1,Trade Finance_20210824112119_1.00_page_13.png,remitter_drawee_applicant_importer_buyer_name,Al Masraf - ISLAMIC,AL MASRAF - ISLAMIC,100,1,"[368, 677, 643, 702]","[367, 674, 648, 706]"
2,Trade Finance_20210824112119_1.00_page_13.png,remitter_address,FIRSTMAINJUMEIRAROADUMMSUQEIMDUBAI,FIRSTMAINJUMEIRAROADUMMSUQEIMDUBAI,100,1,"[368, 751, 732, 811]","[364, 746, 744, 816]"
3,Trade Finance_20210824112119_1.00_page_13.png,goods_description,Supply of Access Doors,SUPPLY OF ACCESS DOORS,100,1,"[368, 948, 663, 976]","[365, 940, 667, 976]"
4,Trade Finance_20210824112119_1.00_page_13.png,country_of_origin_of_goods,UAE.,UAE.,100,1,"[584, 1057, 643, 1078]","[576, 1048, 648, 1085]"
5,Trade Finance_20210824112119_1.00_page_13.png,incoterm,DDP,DDP,100,1,"[368, 1092, 1455, 1120]","[359, 1087, 1461, 1123]"
6,Trade Finance_20210824112119_1.00_page_13.png,invoice_amount_in_words,One Hundred Fifteen Thousand Five Hundred Ten & Fils 50100,ONE HUNDRED FIFTEEN THOUSAND FIVE HUNDRED TEN & FILS 50100,100,1,"[804, 1885, 1624, 1910]","[797, 1880, 1627, 1911]"
7,Trade Finance_20210824112119_1.00_page_13.png,lc_ref_no,TF1921870002,TF1921870002,100,1,"[831, 2142, 1017, 2163]","[824, 2135, 1020, 2172]"
8,Trade Finance_20210824112119_1.00_page_14.png,invoice_no,NOSZO11,NOSZO11,100,1,"[1842, 682, 2000, 704]","[1892, 680, 2005, 708]"
9,Trade Finance_20210824112119_1.00_page_14.png,remitter_drawee_applicant_importer_buyer_name,Al Masraf ISLAMIC ,AL MASRAF - ISLAMIC,92,1,"[363, 682, 641, 704]","[364, 681, 645, 706]"
10,Trade Finance_20210824112119_1.00_page_14.png,remitter_address,JUMFIRSTMAINEIRAROADSUQEIMUMMDUBAI,JUMEIRAFIRSTMAINROADSUQEIMUMMDUBAI,88,1,"[363, 742, 730, 813]","[364, 755, 731, 816]"
11,Trade Finance_20210824112119_1.00_page_14.png,goods_description,Supply of Access Doors,SUPPLY OF ACCESS DOORS,100,1,"[363, 946, 658, 975]","[365, 942, 667, 978]"
12,Trade Finance_20210824112119_1.00_page_14.png,country_of_origin_of_goods,UAE.,UAE.,100,1,"[579, 1059, 638, 1080]","[576, 1058, 640, 1085]"
13,Trade Finance_20210824112119_1.00_page_14.png,incoterm,DDP,DDP,100,1,"[363, 1094, 1455, 1119]","[359, 1093, 1452, 1122]"
14,Trade Finance_20210824112119_1.00_page_14.png,invoice_amount_in_words,Hundred Fifteen Thousand Five Hundred Ten & Fils 50/100 One,ONE HUNDRED FIFTEEN THOUSAND FIVE HUNDRED TEN & FILS 50100,92,1,"[802, 1886, 1626, 1911]","[802, 1885, 1632, 1916]"
15,Trade Finance_20210824112119_1.00_page_14.png,lc_ref_no,TF1921870002,TF1921870002,100,1,"[829, 2143, 1017, 2164]","[828, 2142, 1024, 2170]"
16,Trade Finance_20210824112119_1.00_page_15.png,invoice_no,NOSZO11,NOSZO11,100,1,"[1834, 682, 1995, 706]","[1888, 681, 2001, 711]"
17,Trade Finance_20210824112119_1.00_page_15.png,remitter_drawee_applicant_importer_buyer_name,Al Masraf - ISLAMIC,AL MASRAF - ISLAMIC,100,1,"[363, 678, 641, 703]","[363, 676, 644, 709]"
18,Trade Finance_20210824112119_1.00_page_15.png,remitter_address,FIRSTMAINJUMEIRAROADUMMSUQEIMDUBAI,FIRSTMAINJUMEIRAROADUMMSUQEIMDUBAI,100,1,"[356, 752, 727, 812]","[361, 752, 742, 815]"
19,Trade Finance_20210824112119_1.00_page_15.png,goods_description,Supply of Access Doors,SUPPLY OF ACCESS DOORS,100,1,"[363, 949, 658, 977]","[365, 949, 667, 978]"
