,File_Name,label_name,actual,predicted,Accuracy,Match/No_Match,bbox,bbox_ground_truth
0,Trade Finance_20210824112119_1.00_page_13.png,lc_ref_no,TF1921870002,TF1921870002,100,1,"[831, 2142, 1017, 2163]","[824, 2135, 1020, 2172]"
1,Trade Finance_20210824112119_1.00_page_13.png,goods_description,Supply of Access Doors,SUPPLY OF ACCESS DOORS,100,1,"[368, 948, 663, 976]","[365, 940, 667, 976]"
2,Trade Finance_20210824112119_1.00_page_13.png,incoterm,DDP,DDP,100,1,"[368, 1092, 1455, 1120]","[359, 1087, 1461, 1123]"
3,Trade Finance_20210824112119_1.00_page_13.png,remitter_drawee_applicant_importer_buyer_name,Al Masraf - ISLAMIC,AL MASRAF - ISLAMIC,100,1,"[368, 677, 643, 702]","[367, 674, 648, 706]"
4,Trade Finance_20210824112119_1.00_page_14.png,lc_ref_no,TF1921870002,TF1921870002,100,1,"[829, 2143, 1017, 2164]","[828, 2142, 1024, 2170]"
5,Trade Finance_20210824112119_1.00_page_14.png,goods_description,Supply of Access Doors,SUPPLY OF ACCESS DOORS,100,1,"[363, 946, 658, 975]","[365, 942, 667, 978]"
6,Trade Finance_20210824112119_1.00_page_14.png,incoterm,DDP,DDP,100,1,"[363, 1094, 1455, 1119]","[359, 1093, 1452, 1122]"
7,Trade Finance_20210824112119_1.00_page_14.png,remitter_drawee_applicant_importer_buyer_name,Al Masraf ISLAMIC ,AL MASRAF - ISLAMIC,92,1,"[363, 682, 641, 704]","[364, 681, 645, 706]"
8,Trade Finance_20210824112119_1.00_page_15.png,lc_ref_no,TF1921870002,TF1921870002,100,1,"[824, 2144, 1010, 2165]","[824, 2143, 1016, 2171]"
9,Trade Finance_20210824112119_1.00_page_15.png,goods_description,Supply of Access Doors,SUPPLY OF ACCESS DOORS,100,1,"[363, 949, 658, 977]","[365, 949, 667, 978]"
10,Trade Finance_20210824112119_1.00_page_15.png,incoterm,DDP,DDP,100,1,"[363, 1093, 1450, 1121]","[359, 1095, 1461, 1124]"
11,Trade Finance_20210824112119_1.00_page_15.png,remitter_drawee_applicant_importer_buyer_name,Al Masraf - ISLAMIC,AL MASRAF - ISLAMIC,100,1,"[363, 678, 641, 703]","[363, 676, 644, 709]"
12,Trade Finance_20210824112119_1.00_page_22.png,lc_ref_no,TF1921870002,TF1921870002,100,1,"[829, 2141, 1015, 2165]","[829, 2136, 1025, 2174]"
13,Trade Finance_20210824112119_1.00_page_22.png,goods_description,Supply of Access Doors,SUPPLY OF ACCESS DOORS,100,1,"[361, 952, 661, 980]","[359, 952, 661, 981]"
14,Trade Finance_20210824112119_1.00_page_22.png,incoterm,DDP,DDP,100,1,"[361, 1096, 1455, 1121]","[359, 1095, 1461, 1124]"
15,Trade Finance_20210824112119_1.00_page_22.png,remitter_drawee_applicant_importer_buyer_name,Al Masraf ISLAMIC ,AL MASRAF - ISLAMIC,92,1,"[361, 682, 643, 706]","[363, 676, 643, 709]"
