,Label_Name,Label_Count,Labels_Detected,Detection_Accuracy,Fuzzy_Match_Percentage,Complete_Match_Count_Detected,Complete_Match_Count,Complete_Match_Percentage
0,csh_bill_amount,4,3,75.0,48.75,0.6666666666666666,2,50.0
1,csh_bill_currency,4,2,50.0,25.0,0.5,1,25.0
2,csh_drawn_under_lc_number,4,4,100.0,99.0,1.0,4,100.0
3,csh_drawn_under_rules,4,2,50.0,50.0,1.0,2,50.0
4,csh_presentation_date,4,4,100.0,37.75,0.0,0,0.0
5,csh_ref_no,4,2,50.0,15.25,0.0,0,0.0
6,drawee_address,4,2,50.0,24.5,0.5,1,25.0
7,drawee_bank_address,4,2,50.0,45.0,1.0,2,50.0
8,drawee_bank_name,4,3,75.0,53.75,0.3333333333333333,1,25.0
9,drawee_name,4,3,75.0,66.25,1.0,3,75.0
10,drawer_address,4,1,25.0,25.0,1.0,1,25.0
11,drawer_bank_address,4,1,25.0,25.0,1.0,1,25.0
12,drawer_bank_bic,4,2,50.0,46.0,1.0,2,50.0
13,drawer_bank_name,4,3,75.0,47.5,0.3333333333333333,1,25.0
14,drawer_name,4,3,75.0,71.0,1.0,3,75.0
15,nostro_bank_address,4,1,25.0,25.0,1.0,1,25.0
16,nostro_bank_name,4,1,25.0,25.0,1.0,1,25.0
17,tenor_indicator,4,2,50.0,50.0,1.0,2,50.0
18,tenor_indicator_date,4,2,50.0,50.0,1.0,2,50.0
19,tenor_type,4,2,50.0,50.0,1.0,2,50.0
20,usance_tenor,4,2,50.0,50.0,1.0,2,50.0
21,OVERALL,84,47,55.952380952380956,44.273809523809526,0.723404255319149,34,0.40476190476190477
