,Label_Name,Label_Count,Labels_Detected,Detection_Accuracy,Fuzzy_Match_Percentage,Complete_Match_Count_Detected,Complete_Match_Count,Complete_Match_Percentage
0,csh_bill_amount,4,3,75.0,48.75,0.6666666666666666,2,50.0
1,csh_bill_currency,4,2,50.0,25.0,0.5,1,25.0
2,csh_drawn_under_rules,4,2,50.0,50.0,1.0,2,50.0
3,csh_ref_no,4,2,50.0,15.25,0.0,0,0.0
4,doc_charge_instructions,4,0,0.0,0.0,0.0,0,0.0
5,doc_delivery_instruction,4,0,0.0,0.0,0.0,0,0.0
6,document_enclosed,4,0,0.0,0.0,0.0,0,0.0
7,drawee_address,4,2,50.0,24.5,0.5,1,25.0
8,drawee_bank_address,4,2,50.0,45.0,1.0,2,50.0
9,drawee_bank_bic,4,0,0.0,0.0,0.0,0,0.0
10,drawee_bank_country,4,1,25.0,0.0,0.0,0,0.0
11,drawee_bank_name,4,3,75.0,53.75,0.3333333333333333,1,25.0
12,drawee_country,4,0,0.0,0.0,0.0,0,0.0
13,drawee_name,4,3,75.0,66.25,1.0,3,75.0
14,drawer_address,4,1,25.0,25.0,1.0,1,25.0
15,drawer_bank_address,4,1,25.0,25.0,1.0,1,25.0
16,drawer_bank_bic,4,2,50.0,46.0,1.0,2,50.0
17,drawer_bank_country,4,1,25.0,0.0,0.0,0,0.0
18,drawer_bank_name,4,3,75.0,47.5,0.3333333333333333,1,25.0
19,drawer_country,4,0,0.0,0.0,0.0,0,0.0
20,drawer_name,4,3,75.0,71.0,1.0,3,75.0
21,drawer_ref_no,4,0,0.0,0.0,0.0,0,0.0
22,nostro_bank_address,4,1,25.0,25.0,1.0,1,25.0
23,nostro_bank_bic,4,0,0.0,0.0,0.0,0,0.0
24,nostro_bank_country,4,0,0.0,0.0,0.0,0,0.0
25,nostro_bank_name,4,1,25.0,25.0,1.0,1,25.0
26,tenor_indicator,4,2,50.0,50.0,1.0,2,50.0
27,tenor_indicator_date,4,2,50.0,50.0,1.0,2,50.0
28,tenor_indicator_type,4,0,0.0,0.0,0.0,0,0.0
29,tenor_type,4,2,50.0,50.0,1.0,2,50.0
30,total_bill_amount,4,0,0.0,0.0,0.0,0,0.0
31,usance_tenor,4,2,50.0,50.0,1.0,2,50.0
32,OVERALL,128,41,32.03125,24.78125,0.7317073170731707,30,0.234375
